Federal organization,Year,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t),Total annual energy usage,Total  emissions
Parks Canada,2018,FY 2018-19,facilities,2,electricity,192937.0357,11484.58269,,
Parks Canada,2018,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",68509.14983,4872.769368,,
Parks Canada,2018,FY 2018-19,fleet,1,fuels with renewable content,56322.61,3650.51239,,
Parks Canada,2018,FY 2018-19,fleet,1,gasoline,93718.13545,6246.097686,,
Parks Canada,2018,FY 2018-19,fleet,1,liquified petroleum gas,220.8225842,13.43903375,,
Public Health Agency of Canada,2018,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1395.747878,101.2687703,,
Public Health Agency of Canada,2018,FY 2018-19,facilities,1,natural gas,164457.2854,8151.264563,,
Public Health Agency of Canada,2018,FY 2018-19,facilities,2,electricity,78275.9901,53.03340133,,
Public Services and Procurement Canada,2018,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",72254.53672,5056.876604,,
Public Services and Procurement Canada,2018,FY 2018-19,facilities,1,natural gas,1084819.2,53896.76647,,
Public Services and Procurement Canada,2018,FY 2018-19,facilities,2,district energy,926964.0096,49934.00863,,
Public Services and Procurement Canada,2018,FY 2018-19,facilities,2,electricity,2639554.041,18445.90917,,
Public Services and Procurement Canada,2018,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2392.728121,171.0865426,,
Public Services and Procurement Canada,2018,FY 2018-19,fleet,1,fuels with renewable content,109.26,6.128890934,,
Public Services and Procurement Canada,2018,FY 2018-19,fleet,1,gasoline,9661.041471,639.491703,,
Royal Canadian Mounted Police,2018,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",119501.5688,8433.624789,,
Royal Canadian Mounted Police,2018,FY 2018-19,facilities,1,natural gas,783948.1111,39284.67919,,
Royal Canadian Mounted Police,2018,FY 2018-19,facilities,2,electricity,495614.907,38988.85302,,
Royal Canadian Mounted Police,2018,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3470.674683,248.1626697,,
Royal Canadian Mounted Police,2018,FY 2018-19,fleet,1,fuels with renewable content,420.12,27.09955138,,
Royal Canadian Mounted Police,2018,FY 2018-19,fleet,1,gasoline,36864.04883,2440.135773,,
Royal Canadian Mounted Police,2018,FY 2018-19,fleet,1,natural gas,0.002326196,0.000131808,,
Shared Services Canada,2018,FY 2018-19,fleet,1,gasoline,3158.68721,209.0825787,,
Transport Canada,2018,FY 2018-19,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",32638.56476,2304.098917,,
Transport Canada,2018,FY 2018-19,facilities,1,natural gas,27007.14287,1345.565148,,
Transport Canada,2018,FY 2018-19,facilities,2,electricity,88155.966,1239.981685,,
Transport Canada,2018,FY 2018-19,fleet,1,aviation fuel,142352.4005,9818.612167,,
Transport Canada,2018,FY 2018-19,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",428815.6582,30297.25015,,
Transport Canada,2018,FY 2018-19,fleet,1,fuels with renewable content,228.96,15.67910689,,
Transport Canada,2018,FY 2018-19,fleet,1,gasoline,125350.0039,8339.366593,,
Transport Canada,2018,FY 2018-19,fleet,1,liquified petroleum gas,32.91564755,2.003212346,,
